TERM_CODE,CRN,PART_TERM,NO_STUDENTS,AVG_MARK,MARK_100_80,MARK_79_70,MARK_69_60,MARK_59_50,MARK_49_40,MARK_39_25,MARK_24_0,ASSESS_EXAM,ASSESS_CRSE,ASSESS_OTHER
201213,10368,S1,216, 62.71,   4.17,  21.30,  37.50,  27.78,   8.80,    .46,    .00,    .00,  75.00,  25.00
201213,10369,S2,152, 55.29,   3.95,   7.24,  28.95,  31.58,  19.08,   6.58,   2.63,    .00,  75.00,  25.00
201213,10371,S1,47, 54.02,    .00,  17.02,  21.28,  31.91,   8.51,  19.15,   2.13,    .00,  75.00,  25.00
201213,10372,S1,214, 62.65,   1.87,  18.69,  45.33,  26.17,   7.48,    .47,    .00,    .00,  75.00,  25.00
201213,10373,S1,25, 58.56,   8.00,  12.00,  36.00,  24.00,   4.00,  16.00,    .00,    .00,  75.00,  25.00
201213,10374,S2,159, 54.89,   3.14,  11.32,  22.01,  29.56,  27.04,   5.66,   1.26,    .00,  75.00,  25.00
201213,10375,S2,9, 43.56,    .00,    .00,  22.22,  11.11,  33.33,  22.22,  11.11,  25.00,  75.00,    .00
201213,10377,S2,71, 56.75,    .00,   9.86,  40.85,  30.99,  15.49,    .00,   2.82,    .00,  70.00,  30.00
201213,10378,S1,46, 55.35,   2.17,   8.70,  43.48,  17.39,  15.22,   6.52,   6.52,   7.50,  70.00,  22.50
201213,10379,S2,73, 59.75,   4.11,  21.92,  35.62,  21.92,  10.96,    .00,   5.48,   5.00,  75.00,  20.00
201213,10380,S1,49, 56.04,    .00,  10.20,  36.73,  32.65,  12.24,   6.12,   2.04,    .00,  80.00,  20.00
201213,10382,S1,80, 57.70,    .00,  16.25,  33.75,  30.00,  12.50,   6.25,   1.25,    .00,  75.00,  25.00
201213,10383,S2,42, 56.67,    .00,   9.52,  38.10,  28.57,  19.05,   2.38,   2.38,    .00,  70.00,  30.00
201213,10384,S1,129, 58.92,    .00,  13.95,  35.66,  36.43,  11.63,   1.55,    .78,    .00,  60.00,  40.00
201213,10386,S1,159, 63.08,    .63,  21.38,  54.72,  15.72,   5.66,    .63,   1.26,    .00,  75.00,  25.00
201213,10387,S2,145, 60.30,    .69,  11.72,  52.41,  26.21,   4.83,   2.07,   2.07,  10.00,  75.00,  15.00
201213,10388,S1,131, 56.88,    .76,   3.82,  33.59,  48.09,  11.45,    .00,   2.29,  30.00,  70.00,    .00
201213,10389,S2,104, 61.28,   1.92,  11.54,  50.96,  28.85,   2.88,   2.88,    .96,  25.00,  75.00,    .00
