TERM_CODE,CRN,PART_TERM,NO_STUDENTS,AVG_MARK,MARK_100_80,MARK_79_70,MARK_69_60,MARK_59_50,MARK_49_40,MARK_39_25,MARK_24_0,ASSESS_EXAM,ASSESS_CRSE,ASSESS_OTHER
201314,23279,S1,28,  57.96,    .00,    .00,  46.43,  50.00,    .00,   3.57,    .00,    .00,  60.00,  40.00
201314,23280,S1,27,  52.07,    .00,   7.41,  18.52,  48.15,  14.81,   7.41,   3.70,  70.00,    .00,  30.00
201314,23281,S1,25,  60.96,    .00,   4.00,  64.00,  32.00,    .00,    .00,    .00,    .00,  20.00,  80.00
201314,23282,S1,27,  61.81,   7.41,  11.11,  40.74,  40.74,    .00,    .00,    .00,    .00, 100.00,    .00
201314,23283,S1,25,  57.32,    .00,    .00,  36.00,  60.00,   4.00,    .00,    .00,    .00,  50.00,  50.00
201314,23284,S1,25,  61.04,    .00,  12.00,  48.00,  40.00,    .00,    .00,    .00,    .00,  75.00,  25.00
201314,23299,S1,37,  59.76,    .00,  21.62,  54.05,   8.11,   5.41,   2.70,   8.11,    .00, 100.00,    .00
201314,23322,S1,16,  72.31,  25.00,  37.50,  31.25,   6.25,    .00,    .00,    .00,    .00,  75.00,  25.00
201314,23381,S1,26,  58.08,    .00,  19.23,  30.77,  46.15,    .00,    .00,   3.85,    .00, 100.00,    .00
201314,23391,S1,37,  60.30,   2.70,  10.81,  40.54,  43.24,    .00,   2.70,    .00,    .00, 100.00,    .00
201314,23463,S1,42,  67.43,    .00,  23.81,  71.43,   4.76,    .00,    .00,    .00,    .00,  50.00,  50.00
201314,23500,S1,26,  57.73,    .00,   7.69,  38.46,  38.46,  11.54,   3.85,    .00,  50.00,  50.00,    .00
201314,23504,S1,72,  53.79,   4.17,  18.06,  23.61,  13.89,  20.83,  11.11,   8.33, 100.00,    .00,    .00
201314,23688,1,9,  60.22,    .00,  11.11,  44.44,  44.44,    .00,    .00,    .00,    .00,    .00,    .00
201314,23704,1,6,  59.50,    .00,    .00,  50.00,  50.00,    .00,    .00,    .00,    .00, 100.00,    .00
201314,23781,NS,16,  65.81,  12.50,  43.75,  31.25,   6.25,    .00,    .00,   6.25,    .00, 100.00,    .00
201314,23785,NS,57,  63.89,    .00,  29.82,  45.61,  19.30,   1.75,   1.75,   1.75,  80.00,  20.00,    .00
201314,23786,NS,11,  69.09,  18.18,  18.18,  36.36,  27.27,    .00,    .00,    .00,  80.00,  20.00,    .00
201314,23845,NS,11,  68.91,    .00,  63.64,  27.27,   9.09,    .00,    .00,    .00,    .00, 100.00,    .00
201314,23911,NS,11,  69.91,   9.09,  45.45,  27.27,  18.18,    .00,    .00,    .00,    .00,  90.00,  10.00
201314,23913,NS,34,  65.56,   5.88,  26.47,  47.06,  17.65,   2.94,    .00,    .00,    .00, 100.00,    .00
